Designator,Mid X,Mid Y,Rotation,Layer
C1,28.524,14.91,0.0,top
C10,16.398,-7.788,270.0,top
C11,23.952,0.346,0.0,top
C12,6.426,5.832,90.0,top
C13,10.49,5.832,90.0,top
C14,23.952,-1.727,0.0,top
C15,8.169461,-1.341809,180.0,top
C16,23.952,-6.934,0.0,top
C17,22.809,3.734,0.0,top
C18,12.08,-7.696,270.0,top
C19,8.458,5.832,90.0,top
C3,12.334,-10.744,180.0,top
C4,16.271,-10.744,0.0,top
C5,32.888,9.957,90.0,top
C6,13.888749,9.150499,180.0,top
C7,19.126,7.925,0.0,top
C8,8.077,1.702,180.0,top
C9,22.428,6.848,270.0,top
J1,19.38,30.785,180.0,top
J5,1.6,-2.87,0.0,top
J6,37.16,-2.87,0.0,top
L1,18.24,10.465,180.0,top
R2,14.366,-7.696,270.0,top
R3,15.316,24.054,90.0,top
R4,17.348,-17.856,90.0,top
R5,22.428,10.846,270.0,top
R6,12.74,6.0,90.0,top
R7,13.74,15.5,270.0,top
R8,15.74,15.5,270.0,top
R9,20.396,24.308,90.0,top
SW1,9.093,14.275,270.0,top
SW2,21.158,-14.808,90.0,top
U1,15.24,0.0,0.0,top
U2,28.27,9.15,90.0,top
Y1,14.239,-14.046,0.0,top
